person_id,primary_name,director_rating,nummovies
nm0570912,Adam McKay,7.074999999999999,8
nm1218281,Jon Watts,7.071428571428571,14
nm0619762,Mira Nair,7.066666666666666,6
nm0004716,Darren Aronofsky,7.033333333333334,6
nm0565336,Tom McCarthy,7.033333333333332,6
nm0878756,Tom Tykwer,7.028571428571429,7
nm0339030,Paul Greengrass,7.0200000000000005,10
nm0836715,Philipp Stölzl,7.016666666666667,6
nm0080220,Sanjay Leela Bhansali,7.015384615384615,13
nm0083348,Brad Bird,7.014285714285714,7
