,movie,popularity,production_budget,domestic_gross,worldwide_gross,release_month,movie_id,primary_title,start_year,runtime_minutes,averagerating,numvotes,genre_list,genre_rating
50,Wild Target,9.355,8000000,109338,5314194,10,tt1235189,Wild Target,2010,98.0,6.8,33915.0,Action,6.085581395348833
51,Takers,8.969,32000000,57744720,70587268,8,tt1135084,Takers,2010,107.0,6.2,53377.0,Action,6.085581395348833
52,Skyline,8.847000000000001,10000000,21416355,68264973,11,tt1564585,Skyline,2010,92.0,4.4,83710.0,Action,6.085581395348833
53,Cop Out,8.82,37000000,44875481,55909910,2,tt1385867,Cop Out,2010,107.0,5.6,81656.0,Action,6.085581395348833
54,The Warrior's Way,8.259,42000000,5666340,8514325,12,tt1032751,The Warrior's Way,2010,100.0,6.3,24271.0,Action,6.085581395348833
55,MacGruber,7.666,10000000,8525600,8629895,5,tt1470023,MacGruber,2010,90.0,5.5,39782.0,Action,6.085581395348833
57,Kites,6.058,9200000,1685269,17155193,5,tt1198101,Kites,2010,123.0,6.1,11353.0,Action,6.085581395348833
63,Contagion,2.178,60000000,75658097,137551594,3,tt1598778,Contagion,2011,106.0,6.6,201536.0,Action,6.085581395348833
64,Contagion,10.444,60000000,75658097,137551594,9,tt1598778,Contagion,2011,106.0,6.6,201536.0,Action,6.085581395348833
65,Pixels,2.1719999999999997,90000000,78765986,244041804,4,tt2120120,Pixels,2015,105.0,5.6,119789.0,Action,6.085581395348833
66,Pixels,23.029,90000000,78765986,244041804,7,tt2120120,Pixels,2015,105.0,5.6,119789.0,Action,6.085581395348833
67,Logan,0.9640000000000001,127000000,226277068,615461394,9,tt3315342,Logan,2017,137.0,8.1,560270.0,Action,6.085581395348833
68,Logan,45.0,127000000,226277068,615461394,3,tt3315342,Logan,2017,137.0,8.1,560270.0,Action,6.085581395348833
71,Resident Evil: Afterlife,0.667,57500000,60128566,295874190,9,tt1220634,Resident Evil: Afterlife,2010,96.0,5.9,153270.0,Action,6.085581395348833
76,Heist,0.6,35000000,23483357,28906817,2,tt3276924,Heist,2015,93.0,6.1,24740.0,Action,6.085581395348833
78,Heist,0.6,8900000,50136,3324131,2,tt3276924,Heist,2015,93.0,6.1,24740.0,Action,6.085581395348833
80,Heist,7.553999999999999,35000000,23483357,28906817,11,tt3276924,Heist,2015,93.0,6.1,24740.0,Action,6.085581395348833
82,Heist,7.553999999999999,8900000,50136,3324131,11,tt3276924,Heist,2015,93.0,6.1,24740.0,Action,6.085581395348833
86,Thor,38.068000000000005,150000000,181030624,449326618,5,tt0800369,Thor,2011,115.0,7.0,683264.0,Action,6.085581395348833
87,Pirates of the Caribbean: On Stranger Tides,30.579,410600000,241063875,1045663875,5,tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,136.0,6.6,447624.0,Action,6.085581395348833
88,Captain America: The First Avenger,25.808000000000003,140000000,176654505,370569776,7,tt0458339,Captain America: The First Avenger,2011,124.0,6.9,668137.0,Action,6.085581395348833
89,Rise of the Planet of the Apes,22.995,93000000,176760185,470986200,8,tt1318514,Rise of the Planet of the Apes,2011,105.0,7.6,473020.0,Action,6.085581395348833
90,In Time,18.912,35000000,37553932,165103952,10,tt1637688,In Time,2011,109.0,6.7,346077.0,Action,6.085581395348833
91,Ghost Rider: Spirit of Vengeance,18.678,57000000,51774002,149217355,12,tt1071875,Ghost Rider: Spirit of Vengeance,2011,96.0,4.3,103608.0,Action,6.085581395348833
92,Sherlock Holmes: A Game of Shadows,18.301,125000000,186848418,535663443,12,tt1515091,Sherlock Holmes: A Game of Shadows,2011,129.0,7.5,394189.0,Action,6.085581395348833
93,Abduction,17.69,35000000,28087155,86648359,9,tt1600195,Abduction,2011,106.0,5.1,72552.0,Action,6.085581395348833
96,Kung Fu Panda 2,17.363,150000000,165249063,664837547,5,tt1302011,Kung Fu Panda 2,2011,90.0,7.2,228465.0,Action,6.085581395348833
97,Green Lantern,17.257,200000000,116601172,219535492,6,tt1133985,Green Lantern,2011,114.0,5.5,252281.0,Action,6.085581395348833
98,Conan the Barbarian,17.046,90000000,21295021,63356133,8,tt0816462,Conan the Barbarian,2011,113.0,5.2,90834.0,Action,6.085581395348833
99,Conan the Barbarian,17.046,20000000,38264085,79114085,8,tt0816462,Conan the Barbarian,2011,113.0,5.2,90834.0,Action,6.085581395348833
100,"Big Mommas: Like Father, Like Son",16.024,32000000,37915414,82332450,2,tt1464174,"Big Mommas: Like Father, Like Son",2011,107.0,4.4,23520.0,Action,6.085581395348833
101,Johnny English Reborn,15.542,45000000,8406711,164640401,10,tt1634122,Johnny English Reborn,2011,101.0,6.3,110824.0,Action,6.085581395348833
102,Priest,15.318,60000000,29136626,84154026,5,tt0822847,Priest,2011,87.0,5.7,108320.0,Action,6.085581395348833
103,Killer Elite,15.135,70000000,25124986,65409046,9,tt1448755,Killer Elite,2011,116.0,6.5,117711.0,Action,6.085581395348833
104,Real Steel,14.811,110000000,85463309,263880341,10,tt0433035,Real Steel,2011,127.0,7.1,283534.0,Action,6.085581395348833
105,Immortals,14.774000000000001,75000000,83504017,211562435,11,tt1253864,Immortals,2011,110.0,6.0,152992.0,Action,6.085581395348833
106,The Green Hornet,14.501,110000000,98780042,229155503,1,tt0990407,The Green Hornet,2011,119.0,5.8,148622.0,Action,6.085581395348833
107,Sucker Punch,14.415999999999999,75000000,36392502,89758389,3,tt0978764,Sucker Punch,2011,110.0,6.1,218371.0,Action,6.085581395348833
108,The Mechanic,14.387,42500000,29121498,76347393,1,tt0472399,The Mechanic,2011,93.0,6.6,141254.0,Action,6.085581395348833
109,Drive Angry,14.095999999999998,50000000,10721033,41042583,2,tt1502404,Drive Angry,2011,104.0,5.4,90203.0,Action,6.085581395348833
110,Source Code,13.495,32000000,54712227,140428499,4,tt0945513,Source Code,2011,93.0,7.5,452036.0,Action,6.085581395348833
111,The Grey,12.942,25000000,51580136,81249176,1,tt1601913,The Grey,2011,117.0,6.8,228798.0,Action,6.085581395348833
112,The Grey,12.942,25000000,51580136,81249176,1,tt1601913,The Grey,2011,117.0,6.8,228798.0,Action,6.085581395348833
113,Season of the Witch,12.535,40000000,24827228,91126600,1,tt0479997,Season of the Witch,2011,95.0,5.4,85777.0,Action,6.085581395348833
114,Tower Heist,12.213,85000000,78046570,150422946,11,tt0471042,Tower Heist,2011,104.0,6.2,125102.0,Action,6.085581395348833
115,Unknown,12.08,40000000,63686397,136123083,2,tt1401152,Unknown,2011,113.0,6.9,235167.0,Action,6.085581395348833
116,Unknown,12.08,3700000,26403,3355048,2,tt1401152,Unknown,2011,113.0,6.9,235167.0,Action,6.085581395348833
117,Tron,12.062999999999999,17000000,26918576,26918576,7,tt1104001,TRON: Legacy,2010,125.0,6.8,296211.0,Action,6.085581395348833
118,The Adventures of Tintin,11.981,130000000,77591831,373993951,12,tt0983193,The Adventures of Tintin,2011,107.0,7.3,202430.0,Action,6.085581395348833
119,The Three Musketeers,11.932,90000000,20377913,139877913,10,tt1509767,The Three Musketeers,2011,110.0,5.8,98408.0,Action,6.085581395348833
120,Super,11.36,2500000,327716,593933,3,tt1512235,Super,2010,96.0,6.8,70604.0,Action,6.085581395348833
121,30 Minutes or Less,11.315,28000000,37053924,40966716,8,tt1622547,30 Minutes or Less,2011,83.0,6.1,87254.0,Action,6.085581395348833
122,The Darkest Hour,10.73,34800000,21443494,62831715,12,tt1093357,The Darkest Hour,2011,89.0,4.9,55071.0,Action,6.085581395348833
123,Colombiana,10.584000000000001,40000000,36665854,72295262,8,tt1657507,Colombiana,2011,108.0,6.4,87659.0,Action,6.085581395348833
136,Ironclad,10.202,25000000,0,5297411,7,tt1233301,Ironclad,2011,121.0,6.2,38477.0,Action,6.085581395348833
138,Haywire,10.015,23000000,18942396,36374700,11,tt1506999,Haywire,2011,93.0,5.8,78681.0,Action,6.085581395348833
139,Hanna,9.709,30000000,40259119,65343694,4,tt0993842,Hanna,2011,111.0,6.8,179178.0,Action,6.085581395348833
140,Attack the Block,9.612,13000000,1024175,6459183,7,tt1478964,Attack the Block,2011,88.0,6.7,93868.0,Action,6.085581395348833
141,Machine Gun Preacher,9.12,30000000,538690,3721988,9,tt1586752,Machine Gun Preacher,2011,129.0,6.8,60074.0,Action,6.085581395348833
142,Puss in Boots,9.078,130000000,149260504,554987477,10,tt0448694,Puss in Boots,2011,90.0,6.6,133355.0,Action,6.085581395348833
143,Hobo with a Shotgun,8.844,3000000,703372,834953,5,tt1640459,Hobo with a Shotgun,2011,86.0,6.1,41633.0,Action,6.085581395348833
144,Hodejegerne,8.836,5250000,1200010,20188740,12,tt1614989,Headhunters,2011,96.0,7.6,91246.0,Action,6.085581395348833
145,Straw Dogs,8.749,25000000,10324441,11253821,9,tt0999913,Straw Dogs,2011,110.0,5.8,30924.0,Action,6.085581395348833
146,5 Days of War,8.689,12000000,17479,87793,8,tt1486193,5 Days of War,2011,113.0,5.6,13089.0,Action,6.085581395348833
147,The Eagle,8.443,25000000,19490041,38993548,2,tt1034389,The Eagle,2011,114.0,6.2,61475.0,Action,6.085581395348833
149,Red State,7.816,4000000,1065429,1983596,9,tt0873886,Red State,2011,88.0,6.2,59266.0,Action,6.085581395348833
150,The Son of No One,7.586,15000000,30680,1148578,11,tt1535612,The Son of No One,2011,90.0,5.1,15743.0,Action,6.085581395348833
152,Dylan Dog: Dead of Night,7.507999999999999,20000000,1186538,6093725,11,tt1013860,Dylan Dog: Dead of Night,2010,107.0,5.1,14120.0,Action,6.085581395348833
154,The Hit List,6.2410000000000005,6000000,0,0,4,tt1575694,The Hit List,2011,90.0,5.4,11081.0,Action,6.085581395348833
155,Transformers: Dark of the Moon,5.3389999999999995,195000000,352390543,1123790543,6,tt1399103,Transformers: Dark of the Moon,2011,154.0,6.2,366409.0,Action,6.085581395348833
158,Venom,2.758,116000000,213511408,853628605,7,tt1270797,Venom,2018,112.0,6.7,275406.0,Action,6.085581395348833
159,Venom,2.758,25000000,881745,881745,7,tt1270797,Venom,2018,112.0,6.7,275406.0,Action,6.085581395348833
160,Venom,44.007,116000000,213511408,853628605,10,tt1270797,Venom,2018,112.0,6.7,275406.0,Action,6.085581395348833
161,Venom,44.007,25000000,881745,881745,10,tt1270797,Venom,2018,112.0,6.7,275406.0,Action,6.085581395348833
162,Fast Five,2.097,125000000,210031325,630163454,4,tt1596343,Fast Five,2011,130.0,7.3,329892.0,Action,6.085581395348833
163,Black Panther,2.0580000000000003,200000000,700059566,1348258224,1,tt1825683,Black Panther,2018,134.0,7.3,516148.0,Action,6.085581395348833
164,Black Panther,44.14,200000000,700059566,1348258224,2,tt1825683,Black Panther,2018,134.0,7.3,516148.0,Action,6.085581395348833
167,Wild Card,0.917,30000000,3200,4315789,1,tt2231253,Wild Card,2015,92.0,5.6,46463.0,Action,6.085581395348833
168,Wild Card,22.504,30000000,3200,4315789,1,tt2231253,Wild Card,2015,92.0,5.6,46463.0,Action,6.085581395348833
169,Snatched,0.725,42000000,45852178,57852177,1,tt2334871,Snatched,2017,90.0,4.5,29997.0,Action,6.085581395348833
170,Snatched,10.92,42000000,45852178,57852177,5,tt2334871,Snatched,2017,90.0,4.5,29997.0,Action,6.085581395348833
171,Nerve,0.6,20000000,38583626,70652284,12,tt3531824,Nerve,2016,96.0,6.5,102782.0,Action,6.085581395348833
172,Nerve,0.6,20000000,38583626,70652284,12,tt3531824,Nerve,2016,96.0,6.5,102782.0,Action,6.085581395348833
173,Nerve,14.508,20000000,38583626,70652284,7,tt3531824,Nerve,2016,96.0,6.5,102782.0,Action,6.085581395348833
174,Snitch,0.6,15000000,42930462,57907734,1,tt0882977,Snitch,2013,112.0,6.5,78142.0,Action,6.085581395348833
175,Snitch,0.6,850000,0,0,1,tt0882977,Snitch,2013,112.0,6.5,78142.0,Action,6.085581395348833
176,Snitch,16.673,15000000,42930462,57907734,2,tt0882977,Snitch,2013,112.0,6.5,78142.0,Action,6.085581395348833
177,Snitch,16.673,850000,0,0,2,tt0882977,Snitch,2013,112.0,6.5,78142.0,Action,6.085581395348833
178,The Avengers,50.288999999999994,225000000,623279547,1517935897,5,tt0848228,The Avengers,2012,143.0,8.1,1183655.0,Action,6.085581395348833
179,The Avengers,50.288999999999994,60000000,23385416,48585416,5,tt0848228,The Avengers,2012,143.0,8.1,1183655.0,Action,6.085581395348833
180,The Dark Knight Rises,26.22,275000000,448139099,1084439099,7,tt1345836,The Dark Knight Rises,2012,164.0,8.4,1387769.0,Action,6.085581395348833
181,Men in Black 3,26.176,215000000,179020854,654213485,5,tt1409024,Men in Black 3,2012,106.0,6.8,309879.0,Action,6.085581395348833
182,The Amazing Spider-Man,24.391,220000000,262030663,757890267,7,tt0948470,The Amazing Spider-Man,2012,136.0,7.0,525632.0,Action,6.085581395348833
