,movie,popularity,production_budget,domestic_gross,worldwide_gross,release_month,movie_id,primary_title,start_year,runtime_minutes,averagerating,numvotes,genre_list,genre_rating
663,Clash of the Titans,15.574000000000002,125000000,163214888,493214888,4,tt0800320,Clash of the Titans,2010,106.0,5.8,256176.0,Adventure,6.408842105263146
664,Clash of the Titans,15.574000000000002,15000000,30000000,44400000,4,tt0800320,Clash of the Titans,2010,106.0,5.8,256176.0,Adventure,6.408842105263146
665,Robin Hood,15.444,210000000,105487148,322459006,5,tt0955308,Robin Hood,2010,140.0,6.6,239480.0,Adventure,6.408842105263146
666,Robin Hood,15.444,210000000,105487148,322459006,5,tt4532826,Robin Hood,2018,116.0,5.3,41588.0,Adventure,6.408842105263146
667,Robin Hood,15.444,99000000,30824628,84747441,5,tt0955308,Robin Hood,2010,140.0,6.6,239480.0,Adventure,6.408842105263146
668,Robin Hood,15.444,99000000,30824628,84747441,5,tt4532826,Robin Hood,2018,116.0,5.3,41588.0,Adventure,6.408842105263146
669,Robin Hood,39.975,210000000,105487148,322459006,11,tt0955308,Robin Hood,2010,140.0,6.6,239480.0,Adventure,6.408842105263146
670,Robin Hood,39.975,210000000,105487148,322459006,11,tt4532826,Robin Hood,2018,116.0,5.3,41588.0,Adventure,6.408842105263146
671,Robin Hood,39.975,99000000,30824628,84747441,11,tt0955308,Robin Hood,2010,140.0,6.6,239480.0,Adventure,6.408842105263146
672,Robin Hood,39.975,99000000,30824628,84747441,11,tt4532826,Robin Hood,2018,116.0,5.3,41588.0,Adventure,6.408842105263146
673,Shrek Forever After,15.040999999999999,165000000,238736787,756244673,5,tt0892791,Shrek Forever After,2010,93.0,6.3,167532.0,Adventure,6.408842105263146
674,The Sorcerer's Apprentice,14.463,160000000,63150991,217986320,7,tt0963966,The Sorcerer's Apprentice,2010,109.0,6.1,143862.0,Adventure,6.408842105263146
675,Centurion,13.548,15000000,123570,7885048,2,tt1020558,Centurion,2010,97.0,6.4,74085.0,Adventure,6.408842105263146
676,True Grit,13.118,35000000,171243005,252276928,12,tt1403865,True Grit,2010,110.0,7.6,284034.0,Adventure,6.408842105263146
677,Due Date,12.445,65000000,100539043,211739043,11,tt1231583,Due Date,2010,95.0,6.5,303523.0,Adventure,6.408842105263146
678,127 Hours,11.435,18000000,18335230,60217171,11,tt1542344,127 Hours,2010,94.0,7.6,323949.0,Adventure,6.408842105263146
679,Gulliver's Travels,10.767999999999999,112000000,42779261,232017848,12,tt1320261,Gulliver's Travels,2010,85.0,4.9,61178.0,Adventure,6.408842105263146
680,Legend of the Guardians: The Owls of Ga'Hoole,10.754000000000001,100000000,55675313,139716717,9,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,7.0,73790.0,Adventure,6.408842105263146
681,The Tourist,10.307,100000000,67631157,278731369,12,tt1243957,The Tourist,2010,103.0,6.0,206714.0,Adventure,6.408842105263146
682,The Losers,10.202,25000000,23591432,29863840,4,tt0480255,The Losers,2010,97.0,6.4,83876.0,Adventure,6.408842105263146
683,Frozen,9.677999999999999,150000000,400738009,1272469910,2,tt1323045,Frozen,2010,93.0,6.2,62311.0,Adventure,6.408842105263146
684,Frozen,9.677999999999999,150000000,400738009,1272469910,2,tt2294629,Frozen,2013,102.0,7.5,516998.0,Adventure,6.408842105263146
685,Frozen,26.183000000000003,150000000,400738009,1272469910,11,tt1323045,Frozen,2010,93.0,6.2,62311.0,Adventure,6.408842105263146
686,Frozen,26.183000000000003,150000000,400738009,1272469910,11,tt2294629,Frozen,2013,102.0,7.5,516998.0,Adventure,6.408842105263146
687,Letters to Juliet,9.394,30000000,53032453,82148538,5,tt0892318,Letters to Juliet,2010,105.0,6.6,86137.0,Adventure,6.408842105263146
689,Yogi Bear,9.096,80000000,100246011,204774690,12,tt1302067,Yogi Bear,2010,80.0,4.6,18934.0,Adventure,6.408842105263146
690,Get Him to the Greek,8.485,40000000,61153526,91455875,6,tt1226229,Get Him to the Greek,2010,109.0,6.4,161653.0,Adventure,6.408842105263146
692,Ramona and Beezus,7.442,15000000,26167002,27469621,7,tt0493949,Ramona and Beezus,2010,103.0,6.6,16086.0,Adventure,6.408842105263146
694,The Reef,5.172999999999999,10000000,0,15037867,5,tt1320291,The Reef,2010,94.0,5.8,15194.0,Adventure,6.408842105263146
696,Resident Evil: Afterlife,0.667,57500000,60128566,295874190,9,tt1220634,Resident Evil: Afterlife,2010,96.0,5.9,153270.0,Adventure,6.408842105263146
699,Trash,0.6,12000000,17484,6553186,11,tt1921149,Trash,2014,114.0,7.2,18690.0,Adventure,6.408842105263146
700,Trash,7.178999999999999,12000000,17484,6553186,10,tt1921149,Trash,2014,114.0,7.2,18690.0,Adventure,6.408842105263146
701,Your Highness,0.6,50000000,21596445,26121638,1,tt1240982,Your Highness,2011,102.0,5.5,92940.0,Adventure,6.408842105263146
702,Your Highness,12.254000000000001,50000000,21596445,26121638,4,tt1240982,Your Highness,2011,102.0,5.5,92940.0,Adventure,6.408842105263146
703,Thor,38.068000000000005,150000000,181030624,449326618,5,tt0800369,Thor,2011,115.0,7.0,683264.0,Adventure,6.408842105263146
704,Pirates of the Caribbean: On Stranger Tides,30.579,410600000,241063875,1045663875,5,tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,136.0,6.6,447624.0,Adventure,6.408842105263146
705,Captain America: The First Avenger,25.808000000000003,140000000,176654505,370569776,7,tt0458339,Captain America: The First Avenger,2011,124.0,6.9,668137.0,Adventure,6.408842105263146
706,Cars 2,23.498,200000000,191450875,560155383,6,tt1216475,Cars 2,2011,106.0,6.2,138914.0,Adventure,6.408842105263146
707,Sherlock Holmes: A Game of Shadows,18.301,125000000,186848418,535663443,12,tt1515091,Sherlock Holmes: A Game of Shadows,2011,129.0,7.5,394189.0,Adventure,6.408842105263146
708,Kung Fu Panda 2,17.363,150000000,165249063,664837547,5,tt1302011,Kung Fu Panda 2,2011,90.0,7.2,228465.0,Adventure,6.408842105263146
709,Green Lantern,17.257,200000000,116601172,219535492,6,tt1133985,Green Lantern,2011,114.0,5.5,252281.0,Adventure,6.408842105263146
710,Conan the Barbarian,17.046,90000000,21295021,63356133,8,tt0816462,Conan the Barbarian,2011,113.0,5.2,90834.0,Adventure,6.408842105263146
711,Conan the Barbarian,17.046,20000000,38264085,79114085,8,tt0816462,Conan the Barbarian,2011,113.0,5.2,90834.0,Adventure,6.408842105263146
712,The Smurfs,16.533,110000000,142614158,563749323,7,tt0472181,The Smurfs,2011,103.0,5.5,77577.0,Adventure,6.408842105263146
713,Johnny English Reborn,15.542,45000000,8406711,164640401,10,tt1634122,Johnny English Reborn,2011,101.0,6.3,110824.0,Adventure,6.408842105263146
714,Priest,15.318,60000000,29136626,84154026,5,tt0822847,Priest,2011,87.0,5.7,108320.0,Adventure,6.408842105263146
715,Paul,15.234000000000002,40000000,37412945,101162106,3,tt1092026,Paul,2011,104.0,7.0,220567.0,Adventure,6.408842105263146
716,Hop,14.738,63000000,108085305,188657593,4,tt1411704,Hop,2011,95.0,5.4,28893.0,Adventure,6.408842105263146
717,Rio,14.695,90000000,143619809,487519809,4,tt1436562,Rio,2011,96.0,6.9,191621.0,Adventure,6.408842105263146
718,Rango,14.462,135000000,123477607,245724600,3,tt1192628,Rango,2011,107.0,7.2,215761.0,Adventure,6.408842105263146
719,Sucker Punch,14.415999999999999,75000000,36392502,89758389,3,tt0978764,Sucker Punch,2011,110.0,6.1,218371.0,Adventure,6.408842105263146
720,Arthur Christmas,12.981,85000000,46462469,149717124,11,tt1430607,Arthur Christmas,2011,97.0,7.1,45439.0,Adventure,6.408842105263146
721,The Grey,12.942,25000000,51580136,81249176,1,tt1601913,The Grey,2011,117.0,6.8,228798.0,Adventure,6.408842105263146
722,The Grey,12.942,25000000,51580136,81249176,1,tt1601913,The Grey,2011,117.0,6.8,228798.0,Adventure,6.408842105263146
723,Hugo,12.936,180000000,73864507,180047784,11,tt0970179,Hugo,2011,126.0,7.5,284869.0,Adventure,6.408842105263146
724,Alvin and the Chipmunks: Chipwrecked,12.672,80000000,133107389,349088523,12,tt1615918,Alvin and the Chipmunks: Chipwrecked,2011,87.0,4.4,28158.0,Adventure,6.408842105263146
725,Season of the Witch,12.535,40000000,24827228,91126600,1,tt0479997,Season of the Witch,2011,95.0,5.4,85777.0,Adventure,6.408842105263146
726,Tron,12.062999999999999,17000000,26918576,26918576,7,tt1104001,TRON: Legacy,2010,125.0,6.8,296211.0,Adventure,6.408842105263146
727,The Adventures of Tintin,11.981,130000000,77591831,373993951,12,tt0983193,The Adventures of Tintin,2011,107.0,7.3,202430.0,Adventure,6.408842105263146
728,The Three Musketeers,11.932,90000000,20377913,139877913,10,tt1509767,The Three Musketeers,2011,110.0,5.8,98408.0,Adventure,6.408842105263146
729,The Muppets,11.324000000000002,45000000,88625922,160971922,11,tt1204342,The Muppets,2011,103.0,7.1,82752.0,Adventure,6.408842105263146
730,Winnie the Pooh,11.147,30000000,26692846,50145607,7,tt1449283,Winnie the Pooh,2011,63.0,7.2,19605.0,Adventure,6.408842105263146
731,Monte Carlo,11.017000000000001,20000000,23186769,39686769,7,tt1067774,Monte Carlo,2011,109.0,5.8,38731.0,Adventure,6.408842105263146
732,The Darkest Hour,10.73,34800000,21443494,62831715,12,tt1093357,The Darkest Hour,2011,89.0,4.9,55071.0,Adventure,6.408842105263146
733,Ironclad,10.202,25000000,0,5297411,7,tt1233301,Ironclad,2011,121.0,6.2,38477.0,Adventure,6.408842105263146
735,A Lonely Place to Die,9.104,4000000,0,442550,4,tt1422136,A Lonely Place to Die,2011,99.0,6.3,25547.0,Adventure,6.408842105263146
736,Puss in Boots,9.078,130000000,149260504,554987477,10,tt0448694,Puss in Boots,2011,90.0,6.6,133355.0,Adventure,6.408842105263146
737,Mars Needs Moms,8.852,150000000,21392758,39549758,3,tt1305591,Mars Needs Moms,2011,88.0,5.4,19823.0,Adventure,6.408842105263146
738,The Eagle,8.443,25000000,19490041,38993548,2,tt1034389,The Eagle,2011,114.0,6.2,61475.0,Adventure,6.408842105263146
739,Happy Feet Two,8.131,135000000,64006466,157956466,11,tt1402488,Happy Feet Two,2011,100.0,5.9,38396.0,Adventure,6.408842105263146
741,Sanctum,7.457000000000001,30000000,23209310,108957098,2,tt0881320,Sanctum,2011,108.0,5.9,51318.0,Adventure,6.408842105263146
742,Transformers: Dark of the Moon,5.3389999999999995,195000000,352390543,1123790543,6,tt1399103,Transformers: Dark of the Moon,2011,154.0,6.2,366409.0,Adventure,6.408842105263146
743,Inside Out,4.758,175000000,356461711,854235992,9,tt2096673,Inside Out,2015,95.0,8.2,536181.0,Adventure,6.408842105263146
744,Inside Out,24.796999999999997,175000000,356461711,854235992,6,tt2096673,Inside Out,2015,95.0,8.2,536181.0,Adventure,6.408842105263146
745,Black Panther,2.0580000000000003,200000000,700059566,1348258224,1,tt1825683,Black Panther,2018,134.0,7.3,516148.0,Adventure,6.408842105263146
746,Black Panther,44.14,200000000,700059566,1348258224,2,tt1825683,Black Panther,2018,134.0,7.3,516148.0,Adventure,6.408842105263146
747,Snatched,0.725,42000000,45852178,57852177,1,tt2334871,Snatched,2017,90.0,4.5,29997.0,Adventure,6.408842105263146
748,Snatched,10.92,42000000,45852178,57852177,5,tt2334871,Snatched,2017,90.0,4.5,29997.0,Adventure,6.408842105263146
749,Nerve,0.6,20000000,38583626,70652284,12,tt3531824,Nerve,2016,96.0,6.5,102782.0,Adventure,6.408842105263146
750,Nerve,0.6,20000000,38583626,70652284,12,tt3531824,Nerve,2016,96.0,6.5,102782.0,Adventure,6.408842105263146
751,Nerve,14.508,20000000,38583626,70652284,7,tt3531824,Nerve,2016,96.0,6.5,102782.0,Adventure,6.408842105263146
752,The Avengers,50.288999999999994,225000000,623279547,1517935897,5,tt0848228,The Avengers,2012,143.0,8.1,1183655.0,Adventure,6.408842105263146
753,The Avengers,50.288999999999994,60000000,23385416,48585416,5,tt0848228,The Avengers,2012,143.0,8.1,1183655.0,Adventure,6.408842105263146
754,The Hobbit: An Unexpected Journey,26.939,250000000,303003568,1017003568,12,tt0903624,The Hobbit: An Unexpected Journey,2012,169.0,7.9,719629.0,Adventure,6.408842105263146
755,Men in Black 3,26.176,215000000,179020854,654213485,5,tt1409024,Men in Black 3,2012,106.0,6.8,309879.0,Adventure,6.408842105263146
756,Prometheus,24.98,125000000,126477084,402448265,6,tt1446714,Prometheus,2012,124.0,7.0,538720.0,Adventure,6.408842105263146
757,The Amazing Spider-Man,24.391,220000000,262030663,757890267,7,tt0948470,The Amazing Spider-Man,2012,136.0,7.0,525632.0,Adventure,6.408842105263146
758,Wreck-It Ralph,22.967,165000000,189412677,496511521,11,tt1772341,Wreck-It Ralph,2012,101.0,7.7,344496.0,Adventure,6.408842105263146
759,Battleship,21.741999999999997,220000000,65233400,313477717,5,tt1440129,Battleship,2012,131.0,5.8,225342.0,Adventure,6.408842105263146
760,Snow White and the Huntsman,21.233,170000000,155136755,401021746,6,tt1735898,Snow White and the Huntsman,2012,127.0,6.1,258938.0,Adventure,6.408842105263146
761,Skyfall,19.27,200000000,304360277,1110526981,11,tt1074638,Skyfall,2012,143.0,7.8,592221.0,Adventure,6.408842105263146
762,Brave,18.908,185000000,237282182,554606532,6,tt1217209,Brave,2012,93.0,7.1,338728.0,Adventure,6.408842105263146
763,Madagascar 3: Europe's Most Wanted,18.705,145000000,216391482,746921271,6,tt1277953,Madagascar 3: Europe's Most Wanted,2012,93.0,6.8,146858.0,Adventure,6.408842105263146
764,John Carter,18.549,275000000,73058679,282778100,3,tt0401729,John Carter,2012,132.0,6.6,241792.0,Adventure,6.408842105263146
765,The Bourne Legacy,18.05,125000000,113203870,280355920,8,tt1194173,The Bourne Legacy,2012,135.0,6.7,268678.0,Adventure,6.408842105263146
766,Ice Age: Continental Drift,17.537,95000000,161321843,879765137,7,tt1667889,Ice Age: Continental Drift,2012,88.0,6.6,175601.0,Adventure,6.408842105263146
767,Total Recall,17.243,125000000,58877969,211856088,8,tt1386703,Total Recall,2012,118.0,6.3,228460.0,Adventure,6.408842105263146
768,Total Recall,17.243,65000000,119394839,261400000,8,tt1386703,Total Recall,2012,118.0,6.3,228460.0,Adventure,6.408842105263146
769,The Expendables 2,17.215999999999998,100000000,85028192,311979256,8,tt1764651,The Expendables 2,2012,103.0,6.6,277584.0,Adventure,6.408842105263146
770,Life of Pi,15.0,120000000,124987022,620912003,11,tt0454876,Life of Pi,2012,127.0,7.9,535836.0,Adventure,6.408842105263146
771,Wrath of the Titans,14.991,150000000,83670083,305270083,3,tt1646987,Wrath of the Titans,2012,99.0,5.7,172330.0,Adventure,6.408842105263146
772,Rise of the Guardians,14.934000000000001,145000000,103412758,306900902,11,tt1446192,Rise of the Guardians,2012,97.0,7.3,145281.0,Adventure,6.408842105263146
773,Journey 2: The Mysterious Island,14.454,79000000,103860290,318146162,2,tt1397514,Journey 2: The Mysterious Island,2012,94.0,5.8,83507.0,Adventure,6.408842105263146
774,The Hunger Games,14.212,80000000,408010692,677923379,3,tt1392170,The Hunger Games,2012,142.0,7.2,795227.0,Adventure,6.408842105263146
775,Moonrise Kingdom,14.085999999999999,16000000,45512466,68848446,5,tt1748122,Moonrise Kingdom,2012,94.0,7.8,291750.0,Adventure,6.408842105263146
776,ParaNorman,13.32,60000000,56003051,108119662,8,tt1623288,ParaNorman,2012,92.0,7.0,87250.0,Adventure,6.408842105263146
777,Mirror Mirror,13.220999999999998,85000000,64935167,173613482,3,tt1667353,Mirror Mirror,2012,106.0,5.6,79510.0,Adventure,6.408842105263146
778,Safe House,13.116,85000000,126181630,208542162,2,tt1599348,Safe House,2012,115.0,6.8,192655.0,Adventure,6.408842105263146
779,Act of Valor,12.197000000000001,12000000,70012847,82497035,2,tt1591479,Act of Valor,2012,110.0,6.5,63787.0,Adventure,6.408842105263146
780,Man on a Ledge,11.263,42000000,18620000,49621440,1,tt1568338,Man on a Ledge,2012,102.0,6.6,137507.0,Adventure,6.408842105263146
781,Red Tails,10.247,58000000,49876377,50365498,1,tt0485985,Red Tails,2012,125.0,5.9,31815.0,Adventure,6.408842105263146
782,On the Road,8.919,25000000,720828,9313302,12,tt0337692,On the Road,2012,124.0,6.1,37886.0,Adventure,6.408842105263146
783,Seeking a Friend for the End of the World,8.092,10000000,7078738,11766959,6,tt1307068,Seeking a Friend for the End of the World,2012,101.0,6.7,102047.0,Adventure,6.408842105263146
785,Beasts of the Southern Wild,7.53,1800000,12795746,23265132,6,tt2125435,Beasts of the Southern Wild,2012,93.0,7.3,77440.0,Adventure,6.408842105263146
786,Bait,7.117000000000001,35000000,15325127,15471969,9,tt1438173,Bait,2012,93.0,5.2,14627.0,Adventure,6.408842105263146
787,Fun Size,7.072,14000000,9409538,11166615,10,tt1663143,Fun Size,2012,86.0,5.4,12926.0,Adventure,6.408842105263146
798,Thor: The Dark World,31.014,150000000,206362140,644602516,11,tt1981115,Thor: The Dark World,2013,112.0,6.9,540996.0,Adventure,6.408842105263146
799,Man of Steel,27.666999999999998,225000000,291045518,667999518,6,tt0770828,Man of Steel,2013,143.0,7.1,647288.0,Adventure,6.408842105263146
800,47 Ronin,25.049,175000000,38362475,151716815,12,tt1335975,47 Ronin,2013,128.0,6.3,135754.0,Adventure,6.408842105263146
801,R.I.P.D.,21.377,130000000,33618855,79076678,7,tt0790736,R.I.P.D.,2013,96.0,5.6,109078.0,Adventure,6.408842105263146
802,The Hobbit: The Desolation of Smaug,21.275,250000000,258366855,960366855,12,tt1170358,The Hobbit: The Desolation of Smaug,2013,161.0,7.8,565563.0,Adventure,6.408842105263146
803,Star Trek Into Darkness,20.487,190000000,228778661,467381584,5,tt1408101,Star Trek Into Darkness,2013,132.0,7.7,445535.0,Adventure,6.408842105263146
804,Monsters University,20.33,200000000,268488329,743588329,6,tt1453405,Monsters University,2013,104.0,7.3,291887.0,Adventure,6.408842105263146
805,The Hunger Games: Catching Fire,20.187,130000000,424668047,864868047,11,tt1951264,The Hunger Games: Catching Fire,2013,146.0,7.5,575455.0,Adventure,6.408842105263146
806,Despicable Me 2,19.014,76000000,368065385,975216835,7,tt1690953,Despicable Me 2,2013,98.0,7.4,344230.0,Adventure,6.408842105263146
807,Oblivion,18.534000000000002,120000000,89107235,287916633,4,tt1483013,Oblivion,2013,124.0,7.0,453966.0,Adventure,6.408842105263146
808,Cloudy with a Chance of Meatballs 2,18.335,78000000,119793567,274392649,9,tt1985966,Cloudy with a Chance of Meatballs 2,2013,95.0,6.4,81010.0,Adventure,6.408842105263146
809,Riddick,17.434,38000000,42025135,94763758,9,tt1411250,Riddick,2013,119.0,6.4,144821.0,Adventure,6.408842105263146
810,Pacific Rim,16.759,190000000,101802906,411002906,7,tt1663662,Pacific Rim,2013,131.0,6.9,443667.0,Adventure,6.408842105263146
811,The Croods,16.29,135000000,187168425,573068425,3,tt0481499,The Croods,2013,98.0,7.2,176699.0,Adventure,6.408842105263146
812,Percy Jackson: Sea of Monsters,15.762,90000000,68559554,200859554,8,tt1854564,Percy Jackson: Sea of Monsters,2013,106.0,5.8,102313.0,Adventure,6.408842105263146
813,Ender's Game,15.533,110000000,61737191,127983283,11,tt1731141,Ender's Game,2013,114.0,6.6,211722.0,Adventure,6.408842105263146
814,G.I. Joe: Retaliation,15.065,140000000,122523060,375740705,3,tt1583421,G.I. Joe: Retaliation,2013,110.0,5.8,165536.0,Adventure,6.408842105263146
815,Turbo,14.876,135000000,83028130,286896578,7,tt1860353,Turbo,2013,96.0,6.4,74639.0,Adventure,6.408842105263146
816,World War Z,14.582,190000000,202359711,531514650,6,tt0816711,World War Z,2013,116.0,7.0,553751.0,Adventure,6.408842105263146
817,After Earth,14.415,130000000,60522097,251499665,5,tt1815862,After Earth,2013,100.0,4.8,181687.0,Adventure,6.408842105263146
818,Epic,13.995,100000000,107518682,262794441,5,tt0848537,Epic,2013,102.0,6.7,95318.0,Adventure,6.408842105263146
819,The Green Inferno,13.67,1000000,7192291,12931420,11,tt2403021,The Green Inferno,2013,100.0,5.3,33239.0,Adventure,6.408842105263146
820,Identity Thief,13.552999999999999,35000000,134506920,175361578,2,tt2024432,Identity Thief,2013,111.0,5.7,115624.0,Adventure,6.408842105263146
821,Oz the Great and Powerful,13.377,200000000,234770996,490359051,3,tt1623205,Oz the Great and Powerful,2013,130.0,6.3,192045.0,Adventure,6.408842105263146
822,The Smurfs 2,12.940999999999999,110000000,71017784,348547523,7,tt2017020,The Smurfs 2,2013,105.0,5.4,34229.0,Adventure,6.408842105263146
823,Jack the Giant Slayer,12.773,195000000,65187603,197687603,3,tt1351685,Jack the Giant Slayer,2013,114.0,6.3,123127.0,Adventure,6.408842105263146
824,The Lone Ranger,12.482000000000001,275000000,89302115,260002115,7,tt1210819,The Lone Ranger,2013,150.0,6.4,208827.0,Adventure,6.408842105263146
825,The Host,11.458,50000000,26623701,64477051,3,tt1517260,The Host,2013,125.0,5.9,105633.0,Adventure,6.408842105263146
826,Free Birds,11.062000000000001,55000000,55750480,110387072,11,tt1621039,Free Birds,2013,91.0,5.9,20934.0,Adventure,6.408842105263146
827,The Secret Life of Walter Mitty,10.743,91000000,58236838,187861183,12,tt0359950,The Secret Life of Walter Mitty,2013,114.0,7.3,275300.0,Adventure,6.408842105263146
829,Nebraska,9.521,12000000,17654912,24761360,11,tt1821549,Nebraska,2013,115.0,7.7,105304.0,Adventure,6.408842105263146
830,The Incredible Burt Wonderstone,9.362,32000000,22537881,27392609,3,tt0790628,The Incredible Burt Wonderstone,2013,100.0,5.9,67549.0,Adventure,6.408842105263146
831,The Last Days on Mars,8.759,10600000,24084,261364,12,tt1709143,The Last Days on Mars,2013,98.0,5.5,33137.0,Adventure,6.408842105263146
833,The East,8.044,6500000,2274649,3027956,5,tt1869716,The East,2013,116.0,6.8,46804.0,Adventure,6.408842105263146
834,Tarzan,7.727,145000000,171091819,448191819,12,tt1705952,Tarzan,2013,94.0,4.8,11728.0,Adventure,6.408842105263146
835,The Wolverine,4.323,115000000,132556852,416456852,7,tt1430132,The Wolverine,2013,126.0,6.7,401286.0,Adventure,6.408842105263146
837,Wonder Woman,2.841,150000000,412563408,821133378,9,tt0451279,Wonder Woman,2017,141.0,7.5,487527.0,Adventure,6.408842105263146
838,Wonder Woman,31.618000000000002,150000000,412563408,821133378,6,tt0451279,Wonder Woman,2017,141.0,7.5,487527.0,Adventure,6.408842105263146
841,Home,0.84,130000000,177397510,385997896,11,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
842,Home,0.84,12000000,0,0,11,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
843,Home,0.84,500000,15433,44793168,11,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
844,Home,12.835,130000000,177397510,385997896,3,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
845,Home,12.835,12000000,0,0,3,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
846,Home,12.835,500000,15433,44793168,3,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
847,Home,0.672,130000000,177397510,385997896,8,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
848,Home,0.672,12000000,0,0,8,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
849,Home,0.672,500000,15433,44793168,8,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
850,Home,0.6,130000000,177397510,385997896,3,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
851,Home,0.6,12000000,0,0,3,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
852,Home,0.6,500000,15433,44793168,3,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
853,Home,0.6,130000000,177397510,385997896,3,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
854,Home,0.6,12000000,0,0,3,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
855,Home,0.6,500000,15433,44793168,3,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
856,Home,0.6,130000000,177397510,385997896,4,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
857,Home,0.6,12000000,0,0,4,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
858,Home,0.6,500000,15433,44793168,4,tt2224026,Home,2015,94.0,6.6,85831.0,Adventure,6.408842105263146
861,Noah,0.6,130000000,101200044,352831065,9,tt1959490,Noah,2014,138.0,5.8,229326.0,Adventure,6.408842105263146
862,Noah,13.905,130000000,101200044,352831065,3,tt1959490,Noah,2014,138.0,5.8,229326.0,Adventure,6.408842105263146
863,Noah,0.6,130000000,101200044,352831065,3,tt1959490,Noah,2014,138.0,5.8,229326.0,Adventure,6.408842105263146
864,Adrift,0.6,35000000,31445011,57897191,7,tt6306064,Adrift,2018,96.0,6.6,34115.0,Adventure,6.408842105263146
865,Adrift,16.785999999999998,35000000,31445011,57897191,6,tt6306064,Adrift,2018,96.0,6.6,34115.0,Adventure,6.408842105263146
866,The Hobbit: The Battle of the Five Armies,53.783,250000000,255119788,945577621,12,tt2310332,The Hobbit: The Battle of the Five Armies,2014,144.0,7.4,438621.0,Adventure,6.408842105263146
867,Guardians of the Galaxy,49.606,170000000,333172112,770867516,8,tt2015381,Guardians of the Galaxy,2014,121.0,8.1,948394.0,Adventure,6.408842105263146
868,X-Men: Days of Future Past,41.867,200000000,233921534,747862775,5,tt1877832,X-Men: Days of Future Past,2014,132.0,8.0,620079.0,Adventure,6.408842105263146
869,Big Hero 6,36.92,165000000,222527828,652127828,11,tt2245084,Big Hero 6,2014,102.0,7.8,371204.0,Adventure,6.408842105263146
870,Big Hero 6,36.92,165000000,222527828,652127828,11,tt2245084,Big Hero 6,2014,102.0,7.8,371204.0,Adventure,6.408842105263146
871,The Hunger Games: Mockingjay - Part 1,33.836999999999996,125000000,337135885,766575131,11,tt1951265,The Hunger Games: Mockingjay - Part 1,2014,123.0,6.6,379050.0,Adventure,6.408842105263146
872,Interstellar,28.44,165000000,188017894,666379375,11,tt0816692,Interstellar,2014,169.0,8.6,1299334.0,Adventure,6.408842105263146
873,Dawn of the Planet of the Apes,27.641,170000000,208545589,710644566,7,tt2103281,Dawn of the Planet of the Apes,2014,130.0,7.6,390199.0,Adventure,6.408842105263146
874,How to Train Your Dragon 2,27.105999999999998,145000000,177002924,614586270,6,tt1646971,How to Train Your Dragon 2,2014,102.0,7.8,278205.0,Adventure,6.408842105263146
875,Exodus: Gods and Kings,26.789,140000000,65014513,268314513,12,tt1528100,Exodus: Gods and Kings,2014,150.0,6.0,150858.0,Adventure,6.408842105263146
876,Kingsman: The Secret Service,26.103,94000000,128261724,404561724,2,tt2802144,Kingsman: The Secret Service,2014,129.0,7.7,544510.0,Adventure,6.408842105263146
877,Kingsman: The Secret Service,26.103,94000000,128261724,404561724,2,tt2802144,Kingsman: The Secret Service,2014,129.0,7.7,544510.0,Adventure,6.408842105263146
878,Teenage Mutant Ninja Turtles,25.619,125000000,191204754,485004754,8,tt1291150,Teenage Mutant Ninja Turtles,2014,101.0,5.8,192220.0,Adventure,6.408842105263146
879,Teenage Mutant Ninja Turtles,25.619,13500000,135265915,202000000,8,tt1291150,Teenage Mutant Ninja Turtles,2014,101.0,5.8,192220.0,Adventure,6.408842105263146
880,Pompeii,25.215,80000000,23169033,108469033,2,tt1921064,Pompeii,2014,105.0,5.5,100467.0,Adventure,6.408842105263146
881,Godzilla,24.982,160000000,200676069,529076069,5,tt0831387,Godzilla,2014,123.0,6.4,350687.0,Adventure,6.408842105263146
