,primary_title,genres,averagerating,primary_name,death_year,primary_profession,writer_rating,nummovies
2746,Spotlight,"Crime,Drama",8.1,Tom McCarthy,,"actor,producer,writer",7.033333333333334,5.0
2748,Elena,"Crime,Drama,Thriller",7.3,Andrey Zvyagintsev,,"director,actor,writer",7.533333333333334,3.0
2768,In Your Eyes,"Fantasy,Romance",7.1,Joss Whedon,,"writer,producer,director",7.533333333333334,6.0
2776,V/H/S/2,"Horror,Thriller",6.1,Gareth Evans,,"director,writer,editor",7.0,4.0
2805,The Martian,"Adventure,Drama,Sci-Fi",8.0,Drew Goddard,,"producer,writer,miscellaneous",7.05,4.0
2829,Silver Linings Playbook,"Comedy,Drama,Romance",7.7,David O. Russell,,"producer,director,writer",7.324999999999999,3.0
2845,The Last Exorcism Part II,"Drama,Horror,Thriller",4.0,Damien Chazelle,,"producer,writer,director",7.966666666666666,5.0
2846,Rust and Bone,"Drama,Romance",7.5,Jacques Audiard,,"writer,director,editorial_department",7.233333333333333,3.0
2858,Thuppakki,"Action,Thriller",7.9,A.R. Murugadoss,,"writer,director,actor",7.6,6.0
2887,Gabbar is Back,Action,7.2,A.R. Murugadoss,,"writer,director,actor",7.6,6.0
2897,Mistress America,"Comedy,Drama",6.7,Greta Gerwig,,"actress,writer,producer",7.4,3.0
2899,Zootopia,"Adventure,Animation,Comedy",8.0,Rich Moore,,"miscellaneous,director,art_department",7.599999999999999,3.0
2903,Zootopia,"Adventure,Animation,Comedy",8.0,Jennifer Lee,,"writer,miscellaneous,producer",7.5,4.0
2904,Zootopia,"Adventure,Animation,Comedy",8.0,Phil Johnston,,"writer,producer,actor",7.1,5.0
2945,Hunt for the Wilderpeople,"Adventure,Comedy,Drama",7.9,Taika Waititi,,"actor,producer,director",7.75,3.0
3014,The Intouchables,"Biography,Comedy,Drama",8.5,Olivier Nakache,,"writer,director,producer",7.6,3.0
3015,The Intouchables,"Biography,Comedy,Drama",8.5,Éric Toledano,,"writer,director,producer",7.6,3.0
3052,22 Jump Street,"Action,Comedy,Crime",7.0,Rodney Rothman,,"writer,producer,director",8.5,3.0
3053,22 Jump Street,"Action,Comedy,Crime",7.0,Jonah Hill,,"actor,producer,writer",7.4,5.0
3075,Whiplash,"Drama,Music",8.5,Damien Chazelle,,"producer,writer,director",7.966666666666666,5.0
3109,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation",8.5,Phil Lord,,"producer,writer,director",7.333333333333333,4.0
3110,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation",8.5,Rodney Rothman,,"writer,producer,director",8.5,3.0
3139,Aladdin,"Adventure,Comedy,Family",7.4,Guy Ritchie,,"director,producer,writer",7.250000000000001,3.0
3179,The Wild Pear Tree,Drama,8.2,Nuri Bilge Ceylan,,"director,writer,editor",8.1,3.0
3209,King Arthur: Legend of the Sword,"Action,Adventure,Drama",6.8,Guy Ritchie,,"director,producer,writer",7.250000000000001,3.0
3219,Steve Jobs,"Biography,Drama",7.2,Aaron Sorkin,,"writer,producer,actor",7.5,4.0
3248,Coco,"Adventure,Animation,Comedy",8.4,Adrian Molina,,"writer,miscellaneous,animation_department",8.4,3.0
3309,The Lego Movie 2: The Second Part,"Action,Adventure,Animation",6.7,Phil Lord,,"producer,writer,director",7.333333333333333,4.0
3311,The Lego Movie 2: The Second Part,"Action,Adventure,Animation",6.7,Christopher Miller,,"producer,writer,director",7.333333333333333,3.0
3335,Cars 2,"Adventure,Animation,Comedy",6.2,Dan Fogelman,,"writer,producer,miscellaneous",7.0,6.0
3384,Rockstar,"Drama,Music,Musical",7.7,Imtiaz Ali,,"writer,director,actor",7.0,5.0
3392,Pyaar Ka Punchnama,"Comedy,Drama,Romance",7.7,Luv Ranjan,,"writer,director,producer",7.366666666666666,3.0
3412,Cocktail,"Comedy,Drama,Romance",6.3,Imtiaz Ali,,"writer,director,actor",7.0,5.0
3448,Beauty and the Beast,"Family,Fantasy,Musical",7.2,Stephen Chbosky,,"writer,producer,director",8.0,3.0
3518,Justice League,"Action,Adventure,Fantasy",6.5,Joss Whedon,,"writer,producer,director",7.533333333333334,6.0
3576,Heartbeats,"Drama,Romance",7.2,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
3682,Dragged Across Concrete,"Adventure,Crime,Drama",7.1,S. Craig Zahler,,"writer,director,cinematographer",7.099999999999999,3.0
3719,Inside Llewyn Davis,"Drama,Music",7.5,Ethan Coen,,"producer,writer,director",7.175,8.0
3720,Inside Llewyn Davis,"Drama,Music",7.5,Joel Coen,,"producer,writer,director",7.175,8.0
3728,The Grand Budapest Hotel,"Adventure,Comedy,Crime",8.1,Wes Anderson,,"writer,director,producer",7.933333333333334,3.0
3736,PK,"Comedy,Drama,Fantasy",8.2,Rajkumar Hirani,,"writer,editor,director",8.05,3.0
3742,Special 26,"Crime,Drama,Thriller",8.0,Neeraj Pandey,,"writer,editorial_department,producer",7.8999999999999995,3.0
3766,The Brothers Grimsby,"Action,Adventure,Comedy",6.2,Phil Johnston,,"writer,producer,actor",7.1,5.0
3780,Ex Machina,"Drama,Mystery,Sci-Fi",7.7,Alex Garland,,"writer,producer,director",7.300000000000001,4.0
3848,The Body,"Mystery,Thriller",7.6,Oriol Paulo,,"writer,director,editorial_department",7.733333333333333,4.0
3905,Sarkar,"Action,Drama",7.1,A.R. Murugadoss,,"writer,director,actor",7.6,6.0
3964,The Great Beauty,Drama,7.8,Paolo Sorrentino,,"writer,director,actor",7.266666666666667,3.0
3972,Bone Tomahawk,"Adventure,Drama,Horror",7.1,S. Craig Zahler,,"writer,director,cinematographer",7.099999999999999,3.0
3978,The Garden of Words,"Animation,Drama,Romance",7.6,Makoto Shinkai,,"writer,art_department,director",7.733333333333334,3.0
4001,Youth,"Comedy,Drama,Music",7.3,Paolo Sorrentino,,"writer,director,actor",7.266666666666667,3.0
4010,Samba,"Comedy,Drama,Romance",6.7,Olivier Nakache,,"writer,director,producer",7.6,3.0
4011,Samba,"Comedy,Drama,Romance",6.7,Éric Toledano,,"writer,director,producer",7.6,3.0
4026,Sicario: Day of the Soldado,"Action,Crime,Drama",7.1,Taylor Sheridan,,"actor,writer,director",7.7,4.0
4033,Ralph Breaks the Internet,"Adventure,Animation,Comedy",7.1,Rich Moore,,"miscellaneous,director,art_department",7.599999999999999,3.0
4036,Ralph Breaks the Internet,"Adventure,Animation,Comedy",7.1,Phil Johnston,,"writer,producer,actor",7.1,5.0
4049,Vice,"Biography,Comedy,Drama",7.2,Adam McKay,,"producer,writer,director",7.0,7.0
4050,Bad Times at the El Royale,"Crime,Drama,Mystery",7.1,Drew Goddard,,"producer,writer,miscellaneous",7.05,4.0
4082,Louder Than Bombs,Drama,6.6,Joachim Trier,,"director,writer,soundtrack",7.1000000000000005,3.0
4087,Eega,"Action,Comedy,Fantasy",7.8,S.S. Rajamouli,,"writer,producer,director",8.066666666666668,3.0
4107,Midnight Special,"Action,Drama,Mystery",6.6,Jeff Nichols,,"writer,director,producer",7.1,4.0
4110,Young & Beautiful,"Drama,Romance",6.8,François Ozon,,"director,writer,editor",7.233333333333333,3.0
4111,Kingsman: The Secret Service,"Action,Adventure,Comedy",7.7,Matthew Vaughn,,"producer,writer,director",7.449999999999999,6.0
