,movie,genres,averagerating,primary_name,death_year,primary_profession,director_rating,nummovies
1391,Vicky Donor,"Comedy,Romance",7.8,Shoojit Sircar,,"director,producer,actor",7.6499999999999995,4.0
1397,Arrival,"Drama,Mystery,Sci-Fi",7.9,Denis Villeneuve,,"director,writer,editor",7.800000000000001,6.0
1399,Whiplash,"Drama,Music",8.5,Damien Chazelle,,"producer,writer,director",7.966666666666666,3.0
1437,Aladdin,"Adventure,Comedy,Family",7.4,Guy Ritchie,,"director,producer,writer",7.250000000000001,4.0
1439,The Legend of Tarzan,"Action,Adventure,Drama",6.3,David Yates,,"director,producer,writer",7.2,5.0
1461,The Wild Pear Tree,Drama,8.2,Nuri Bilge Ceylan,,"director,writer,editor",8.1,3.0
1474,King Arthur: Legend of the Sword,"Action,Adventure,Drama",6.8,Guy Ritchie,,"director,producer,writer",7.250000000000001,4.0
1478,Steve Jobs,"Biography,Drama",7.2,Danny Boyle,,"director,producer,writer",7.225,4.0
1493,Gone Girl,"Drama,Mystery,Thriller",8.1,David Fincher,,"director,producer,actor",7.866666666666667,3.0
1519,Thor: Ragnarok,"Action,Adventure,Comedy",7.9,Taika Waititi,,"actor,producer,director",7.75,4.0
1533,Warrior,"Drama,Sport",8.2,Gavin O'Connor,,"producer,director,writer",7.133333333333333,3.0
1538,The Lorax,"Adventure,Animation,Comedy",6.4,Chris Renaud,,"producer,actor,director",7.0,4.0
1555,Rockstar,"Drama,Music,Musical",7.7,Imtiaz Ali,,"writer,director,actor",7.0,4.0
1560,Pyaar Ka Punchnama,"Comedy,Drama,Romance",7.7,Luv Ranjan,,"writer,director,producer",7.366666666666666,3.0
1570,Woman in Gold,"Biography,Drama,History",7.3,Simon Curtis,,"producer,director,actor",7.133333333333333,3.0
1576,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy",8.0,J.J. Abrams,,"producer,writer,music_department",7.566666666666666,3.0
1579,Star Trek Beyond,"Action,Adventure,Sci-Fi",7.1,Justin Lin,,"producer,director,writer",7.166666666666667,3.0
1601,The Town,"Crime,Drama,Thriller",7.6,Ben Affleck,,"producer,actor,writer",7.233333333333333,3.0
1617,The Conjuring,"Horror,Mystery,Thriller",7.5,James Wan,,"producer,writer,director",7.116666666666667,6.0
1618,Oblivion,"Action,Adventure,Sci-Fi",7.0,Joseph Kosinski,,"director,writer,producer",7.166666666666667,3.0
1626,Fast Five,"Action,Crime,Thriller",7.3,Justin Lin,,"producer,director,writer",7.166666666666667,3.0
1627,Heartbeats,"Drama,Romance",7.2,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
1648,A Bigger Splash,"Drama,Thriller",6.4,Luca Guadagnino,,"director,producer,writer",7.033333333333334,3.0
1658,Enemy,"Mystery,Thriller",6.9,Denis Villeneuve,,"director,writer,editor",7.800000000000001,6.0
1675,Moana,"Adventure,Animation,Comedy",7.6,Don Hall,,"writer,animation_department,director",7.533333333333334,3.0
1676,Dragged Across Concrete,"Adventure,Crime,Drama",7.1,S. Craig Zahler,,"writer,director,cinematographer",7.099999999999999,3.0
1684,The Wolf of Wall Street,"Biography,Crime,Drama",8.2,Martin Scorsese,,"producer,director,actor",7.75,4.0
1685,Knight and Day,"Action,Adventure,Comedy",6.3,James Mangold,,"producer,director,writer",7.033333333333334,3.0
1690,Inside Llewyn Davis,"Drama,Music",7.5,Ethan Coen,,"producer,writer,director",7.175,4.0
1691,Inside Llewyn Davis,"Drama,Music",7.5,Joel Coen,,"producer,writer,director",7.175,4.0
1697,The Grand Budapest Hotel,"Adventure,Comedy,Crime",8.1,Wes Anderson,,"writer,director,producer",7.933333333333334,3.0
1704,Special 26,"Crime,Drama,Thriller",8.0,Neeraj Pandey,,"writer,editorial_department,producer",7.8999999999999995,3.0
1755,The Body,"Mystery,Thriller",7.6,Oriol Paulo,,"writer,director,editorial_department",7.733333333333333,3.0
1763,Saving Mr. Banks,"Biography,Comedy,Drama",7.5,John Lee Hancock,,"writer,director,producer",7.233333333333333,3.0
1780,A Monster Calls,"Animation,Drama,Fantasy",7.5,J.A. Bayona,,"director,writer,actor",7.099999999999999,3.0
1784,Sarkar,"Action,Drama",7.1,A.R. Murugadoss,,"writer,director,actor",7.6,4.0
1786,The Danish Girl,"Biography,Drama,Romance",7.1,Tom Hooper,,"director,producer,writer",7.566666666666666,3.0
1799,The Imitation Game,"Biography,Drama,Thriller",8.0,Morten Tyldum,,"director,producer,editor",7.533333333333334,3.0
1807,The Great Beauty,Drama,7.8,Paolo Sorrentino,,"writer,director,actor",7.266666666666667,3.0
1811,Bone Tomahawk,"Adventure,Drama,Horror",7.1,S. Craig Zahler,,"writer,director,cinematographer",7.099999999999999,3.0
1816,The Garden of Words,"Animation,Drama,Romance",7.6,Makoto Shinkai,,"writer,art_department,director",7.733333333333334,3.0
1826,Youth,"Comedy,Drama,Music",7.3,Paolo Sorrentino,,"writer,director,actor",7.266666666666667,3.0
1844,Ralph Breaks the Internet,"Adventure,Animation,Comedy",7.1,Rich Moore,,"miscellaneous,director,art_department",7.599999999999999,3.0
1849,Vice,"Biography,Comedy,Drama",7.2,Adam McKay,,"producer,writer,director",7.0,4.0
1866,Louder Than Bombs,Drama,6.6,Joachim Trier,,"director,writer,soundtrack",7.1000000000000005,3.0
1868,Eega,"Action,Comedy,Fantasy",7.8,S.S. Rajamouli,,"writer,producer,director",8.066666666666668,3.0
1876,Starred Up,"Crime,Drama",7.4,David Mackenzie,,"director,producer,writer",7.275,4.0
1879,Midnight Special,"Action,Drama,Mystery",6.6,Jeff Nichols,,"writer,director,producer",7.1,4.0
1881,Young & Beautiful,"Drama,Romance",6.8,François Ozon,,"director,writer,editor",7.233333333333333,3.0
1882,Kingsman: The Secret Service,"Action,Adventure,Comedy",7.7,Matthew Vaughn,,"producer,writer,director",7.449999999999999,4.0
1935,Allied,"Action,Drama,Romance",7.1,Robert Zemeckis,,"producer,writer,director",7.233333333333333,3.0
1939,Baby Driver,"Action,Crime,Drama",7.6,Edgar Wright,,"director,writer,actor",7.366666666666667,3.0
1942,M.S. Dhoni: The Untold Story,"Biography,Drama,Sport",7.7,Neeraj Pandey,,"writer,editorial_department,producer",7.8999999999999995,3.0
1968,Argo,"Biography,Drama,Thriller",7.7,Ben Affleck,,"producer,actor,writer",7.233333333333333,3.0
1971,Kaththi,"Action,Drama",8.0,A.R. Murugadoss,,"writer,director,actor",7.6,4.0
1975,Loving,"Biography,Drama,Romance",7.0,Jeff Nichols,,"writer,director,producer",7.1,4.0
1983,The Avengers,"Action,Adventure,Sci-Fi",8.1,Joss Whedon,,"writer,producer,director",7.533333333333334,3.0
1986,Biutiful,"Drama,Romance",7.5,Alejandro G. Iñárritu,,"producer,director,writer",7.733333333333333,3.0
1995,The Wolverine,"Action,Adventure,Sci-Fi",6.7,James Mangold,,"producer,director,writer",7.033333333333334,3.0
2010,Inherent Vice,"Comedy,Crime,Drama",6.7,Paul Thomas Anderson,,"director,writer,producer",7.1000000000000005,3.0
2011,Incredibles 2,"Action,Adventure,Animation",7.7,Brad Bird,,"miscellaneous,writer,director",7.166666666666667,3.0
2024,Dunkirk,"Action,Drama,History",7.9,Christopher Nolan,,"writer,producer,director",8.425,4.0
2029,The Killing of a Sacred Deer,"Drama,Mystery,Thriller",7.0,Yorgos Lanthimos,,"director,writer,producer",7.233333333333333,3.0
2033,Blade Runner 2049,"Drama,Mystery,Sci-Fi",8.0,Denis Villeneuve,,"director,writer,editor",7.800000000000001,6.0
2039,The Accountant,"Action,Crime,Drama",7.3,Gavin O'Connor,,"producer,director,writer",7.133333333333333,3.0
2046,I,"Action,Drama,Thriller",7.4,S. Shankar,,"writer,director,producer",7.15,4.0
2059,John Wick,"Action,Crime,Thriller",7.4,David Leitch,,"stunts,actor,assistant_director",7.3,3.0
2060,John Wick,"Action,Crime,Thriller",7.4,Chad Stahelski,,"stunts,actor,assistant_director",7.633333333333333,3.0
2062,The Conjuring 2,"Drama,Horror,Mystery",7.4,James Wan,,"producer,writer,director",7.116666666666667,6.0
2067,The Lobster,"Comedy,Drama,Romance",7.1,Yorgos Lanthimos,,"director,writer,producer",7.233333333333333,3.0
2086,Your Name.,"Animation,Drama,Fantasy",8.4,Makoto Shinkai,,"writer,art_department,director",7.733333333333334,3.0
