,movie,genres,averagerating,primary_name,death_year,primary_profession,director_rating,nummovies
2610,Captain America: Civil War,"Action,Adventure,Sci-Fi",7.8,Anthony Russo,,"producer,director,writer",8.225000000000001,4.0
2611,Captain America: Civil War,"Action,Adventure,Sci-Fi",7.8,Joe Russo,,"producer,director,writer",8.225000000000001,4.0
2613,Dallas Buyers Club,"Biography,Drama",8.0,Jean-Marc Vallée,,"producer,director,editor",7.375,4.0
2629,Inception,"Action,Adventure,Sci-Fi",8.8,Christopher Nolan,,"writer,producer,director",8.425,4.0
2632,Prisoners,"Crime,Drama,Mystery",8.1,Denis Villeneuve,,"director,writer,editor",7.800000000000001,6.0
2640,Machine Gun Preacher,"Action,Biography,Crime",6.8,Marc Forster,,"producer,director,writer",7.033333333333334,3.0
2642,Headhunters,"Action,Crime,Thriller",7.6,Morten Tyldum,,"director,producer,editor",7.533333333333334,3.0
2645,The Impossible,"Drama,History,Thriller",7.6,J.A. Bayona,,"director,writer,actor",7.099999999999999,3.0
2652,The Place Beyond the Pines,"Crime,Drama,Thriller",7.3,Derek Cianfrance,,"director,writer,cinematographer",7.3,3.0
2653,Bridge of Spies,"Drama,History,Thriller",7.6,Steven Spielberg,,"producer,writer,director",7.228571428571429,7.0
2677,Harry Potter and the Deathly Hallows: Part 1,"Adventure,Fantasy,Mystery",7.7,David Yates,,"director,producer,writer",7.2,5.0
2688,Nanban,"Comedy,Drama",7.5,S. Shankar,,"writer,director,producer",7.15,4.0
2706,Logan,"Action,Drama,Sci-Fi",8.1,James Mangold,,"producer,director,writer",7.033333333333334,3.0
2718,Flight,"Drama,Thriller",7.3,Robert Zemeckis,,"producer,writer,director",7.233333333333333,3.0
2726,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",7.4,Peter Jackson,,"producer,director,writer",7.875,4.0
2734,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",7.3,Joss Whedon,,"writer,producer,director",7.533333333333334,3.0
2739,The Light Between Oceans,"Drama,Romance",7.2,Derek Cianfrance,,"director,writer,cinematographer",7.3,3.0
2753,War for the Planet of the Apes,"Action,Adventure,Drama",7.5,Matt Reeves,,"producer,writer,director",7.3999999999999995,3.0
2761,Kick-Ass,"Action,Comedy",7.6,Matthew Vaughn,,"producer,writer,director",7.449999999999999,4.0
2775,Zindagi Na Milegi Dobara,"Comedy,Drama",8.1,Zoya Akhtar,,"writer,producer,director",7.733333333333334,3.0
2787,Bernie,"Biography,Comedy,Crime",6.8,Richard Linklater,,"producer,director,writer",7.3,5.0
2791,Bohemian Rhapsody,"Biography,Drama,Music",8.0,Bryan Singer,,"producer,director,writer",7.325,4.0
2806,The Salesman,"Drama,Thriller",7.8,Asghar Farhadi,,"writer,director,producer",7.7250000000000005,4.0
2807,Brawl in Cell Block 99,"Action,Crime,Drama",7.1,S. Craig Zahler,,"writer,director,cinematographer",7.099999999999999,3.0
2823,Passengers,"Drama,Romance,Sci-Fi",7.0,Morten Tyldum,,"director,producer,editor",7.533333333333334,3.0
2841,Cave of Forgotten Dreams,"Documentary,History",7.4,Werner Herzog,,"director,writer,actor",7.266666666666666,3.0
2845,"Oslo, August 31st",Drama,7.7,Joachim Trier,,"director,writer,soundtrack",7.1000000000000005,3.0
2867,The Ballad of Buster Scruggs,"Comedy,Drama,Musical",7.3,Ethan Coen,,"producer,writer,director",7.175,4.0
2868,The Ballad of Buster Scruggs,"Comedy,Drama,Musical",7.3,Joel Coen,,"producer,writer,director",7.175,4.0
2874,American Hustle,"Crime,Drama",7.2,David O. Russell,,"producer,director,writer",7.324999999999999,4.0
2894,Venus in Fur,Drama,7.2,Roman Polanski,,"actor,director,writer",7.2,3.0
2895,Tom at the Farm,"Drama,Mystery,Thriller",7.0,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
2900,Creed,"Drama,Sport",7.6,Ryan Coogler,,"director,writer,producer",7.466666666666666,3.0
2910,Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",7.5,Edgar Wright,,"director,writer,actor",7.366666666666667,3.0
2924,The Other Guys,"Action,Comedy,Crime",6.7,Adam McKay,,"producer,writer,director",7.0,4.0
2927,Guzaarish,Drama,7.5,Sanjay Leela Bhansali,,"producer,director,writer",7.025,4.0
2935,War Horse,"Drama,History,War",7.2,Steven Spielberg,,"producer,writer,director",7.228571428571429,7.0
2955,Avengers: Infinity War,"Action,Adventure,Sci-Fi",8.5,Anthony Russo,,"producer,director,writer",8.225000000000001,4.0
2956,Avengers: Infinity War,"Action,Adventure,Sci-Fi",8.5,Joe Russo,,"producer,director,writer",8.225000000000001,4.0
2958,John Wick: Chapter 2,"Action,Crime,Thriller",7.5,Chad Stahelski,,"stunts,actor,assistant_director",7.633333333333333,3.0
2959,Christopher Robin,"Adventure,Animation,Comedy",7.3,Marc Forster,,"producer,director,writer",7.033333333333334,3.0
2975,Suspiria,"Fantasy,Horror,Mystery",6.8,Luca Guadagnino,,"director,producer,writer",7.033333333333334,3.0
2976,The Raid: Redemption,"Action,Thriller",7.6,Gareth Evans,,"director,writer,editor",7.0,4.0
2990,How to Train Your Dragon: The Hidden World,"Action,Adventure,Animation",7.6,Dean DeBlois,,"writer,animation_department,director",7.833333333333333,3.0
2991,The Past,"Drama,Mystery",7.8,Asghar Farhadi,,"writer,director,producer",7.7250000000000005,4.0
